feature_id,feature_name,tier,class,page,placement_type,control_id,rationale,priority,keyboard_shortcut
P1.7,Video Embed Support,P1,UI_TOOL,/presentations/[id]/edit,icon,video-embed-icon,"Medium frequency. Media insertion tool.",medium,Cmd+Shift+V
P1.8,Custom Font Upload,P1,UI_TOOL,/settings/fonts,page,fonts-settings-page,"Low frequency setup task. Settings page.",low,
P1.9,Collaboration Features,P1,UI_TOOL,/presentations/[id]/edit,status_indicator,collaboration-avatars,"Background feature. Show collaborators in header with real-time cursors.",low,
P1.10,Version History,P1,UI_TOOL,/presentations/[id]/versions,page,version-history-page,"Medium frequency. Dedicated page for version management.",medium,Cmd+Shift+H
P1.11,AI Image Generation,P1,LLM_CALL,/presentations/[id]/edit,icon+modal,ai-image-icon,"LLM feature - prominent placement. Icon with sparkle/AI badge opens modal for prompt input.",high,Cmd+Shift+I
P1.12,Data Import (CSV/Excel/JSON),P1,UI_TOOL,/presentations/[id]/edit,dropdown,file-menu-import,"Medium frequency for data-heavy presentations. File menu.",medium,Cmd+Shift+D
P1.13,Presentation Analytics,P1,UI_TOOL,/presentations/[id]/analytics,page,analytics-page,"Post-presentation analysis. Dedicated analytics page.",medium,
P1.14,Mobile App,P1,UI_TOOL,/mobile-app,external_link,mobile-app-link,"Separate app. Link in settings/footer.",low,
P1.15,Live Presentation Mode,P1,UI_TOOL,/presentations/[id]/present,page,present-page,"Primary presentation action. Large 'Present' button in header.",high,Cmd+Shift+P
P2.1,Voice Narration (TTS),P2,LLM_CALL,/presentations/[id]/edit,dropdown,export-menu-narration,"LLM feature - TTS service. Add to export dropdown with AI badge.",medium,
P2.2,API Access for Developers,P2,UI_TOOL,/settings/integrations,page,api-settings-page,"Developer feature. Settings page for API key management.",low,
P2.3,Interactive Elements (Polls/Quizzes),P2,UI_TOOL,/presentations/[id]/edit,icon,interactive-icon,"Similar to widgets but specialized. Toolbar icon.",low,
P2.4,Themes Marketplace,P2,UI_TOOL,/marketplace,page,marketplace-page,"E-commerce feature. Dedicated marketplace page.",low,
P2.5,3D Animations (Three.js),P2,UI_TOOL,/presentations/[id]/edit,dropdown,tools-menu-3d,"Low frequency advanced feature. Tools menu.",low,
P2.6,Design Import (Figma/Sketch),P2,UI_TOOL,/settings/integrations,page,design-import-settings,"Setup task. Settings page with OAuth connections.",low,
P2.7,AR Presentation (WebXR),P2,UI_TOOL,/presentations/[id]/present/ar,page,ar-present-page,"Experimental feature. Link from present page.",low,
P2.8,Blockchain NFTs,P2,UI_TOOL,/settings/integrations,page,nft-settings-page,"Experimental Web3 feature. Settings page.",low,
AUTH.LOGIN,User Login,AUTH,UI_TOOL,/login,page,login-page,"Authentication flow. Standalone page.",critical,
AUTH.REGISTER,User Registration,AUTH,UI_TOOL,/register,page,register-page,"Authentication flow. Standalone page.",critical,
NAV.PRESENTATIONS,Presentation List,NAV,UI_TOOL,/presentations,page,presentations-page,"User's presentation library. Dedicated page.",high,
NAV.VIEW,View Presentation,NAV,UI_TOOL,/presentations/[id],page,view-page,"Public presentation viewer. Dedicated page.",high,
NAV.SETTINGS,Settings,NAV,UI_TOOL,/settings,page,settings-page,"User settings hub. Dedicated page.",medium,
NAV.ANALYTICS_GLOBAL,Global Analytics,NAV,UI_TOOL,/analytics,page,analytics-global-page,"All presentations analytics. Dedicated page.",low,
